numprocs,solver,pc,numiter
1,CG,Bjacobi,1
2,CG,Bjacobi,3
4,CG,Bjacobi,4
8,CG,Bjacobi,4
16,CG,Bjacobi,4
32,CG,Bjacobi,4
36,CG,Bjacobi,4
48,CG,Bjacobi,4
54,CG,Bjacobi,4
64,CG,Bjacobi,4
72,CG,Bjacobi,4
1,GMRES,Bjacobi,1
2,GMRES,Bjacobi,3
4,GMRES,Bjacobi,3
8,GMRES,Bjacobi,4
16,GMRES,Bjacobi,4
32,GMRES,Bjacobi,4
36,GMRES,Bjacobi,4
48,GMRES,Bjacobi,4
54,GMRES,Bjacobi,4
64,GMRES,Bjacobi,4
72,GMRES,Bjacobi,4
1,FGMRES,Bjacobi,1
2,FGMRES,Bjacobi,4
4,FGMRES,Bjacobi,4
8,FGMRES,Bjacobi,4
16,FGMRES,Bjacobi,4
32,FGMRES,Bjacobi,4
36,FGMRES,Bjacobi,4
48,FGMRES,Bjacobi,4
54,FGMRES,Bjacobi,4
64,FGMRES,Bjacobi,4
72,FGMRES,Bjacobi,4
1,BCGS,Bjacobi,1
2,BCGS,Bjacobi,2
4,BCGS,Bjacobi,2
8,BCGS,Bjacobi,2
16,BCGS,Bjacobi,2
32,BCGS,Bjacobi,2
36,BCGS,Bjacobi,2
48,BCGS,Bjacobi,2
54,BCGS,Bjacobi,2
64,BCGS,Bjacobi,2
72,BCGS,Bjacobi,2
1,TFQMR,Bjacobi,1
2,TFQMR,Bjacobi,2
4,TFQMR,Bjacobi,2
8,TFQMR,Bjacobi,2
16,TFQMR,Bjacobi,2
32,TFQMR,Bjacobi,2
36,TFQMR,Bjacobi,2
48,TFQMR,Bjacobi,3
54,TFQMR,Bjacobi,3
64,TFQMR,Bjacobi,3
72,TFQMR,Bjacobi,3
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
