config,nprocs,solverid,solvername,name,count,maxtime,avg time/solve,maxflops,messages,avgmsglen,reductions,max mflop/s
s1000_g1e2,24,11256942, -ksp_type tfqmr -pc_type asm -pc_asm_overlap 0 ,KSPSolve,3,2.5,8.33E-01,1.27E+11,6.40E+05,6.70E+03,1.30E+04,11840
s1000_g1e2,24,11256941, -ksp_type tfqmr -pc_type asm -pc_asm_overlap 1 ,KSPSolve,3,3.1,1.03E+00,1.53E+11,1.50E+06,6.80E+03,1.50E+04,11557
s1000_g1e2,24,42851841, -ksp_type gmres -pc_type bjacobi ,KSPSolve,3,6.9,2.30E+00,4.64E+11,1.50E+06,6.70E+03,3.80E+04,16042
s1000_g1e2,24,80361464, -ksp_type bcgs -pc_type asm -pc_asm_overlap 2 ,KSPSolve,3,2.2,7.33E-01,1.16E+11,1.60E+06,7.30E+03,1.50E+04,12294
s1000_g1e2,24,45869639, -ksp_type fgmres -pc_type asm -pc_asm_overlap 0 ,KSPSolve,3,7.9,2.63E+00,4.89E+11,1.60E+06,6.70E+03,4.10E+04,14657
s1000_g1e2,24,45869638, -ksp_type fgmres -pc_type asm -pc_asm_overlap 3 ,KSPSolve,3,7,2.33E+00,4.23E+11,3.70E+06,9.70E+03,3.50E+04,14430
s1000_g1e2,24,45869637, -ksp_type fgmres -pc_type asm -pc_asm_overlap 2 ,KSPSolve,3,6.2,2.07E+00,3.78E+11,3.30E+06,7.30E+03,3.10E+04,14460
s1000_g1e2,24,36482981, -ksp_type fgmres -pc_type asm ,KSPSolve,3,5.9,1.97E+00,3.70E+11,2.30E+06,6.80E+03,3.10E+04,14838
s1000_g1e2,24,18524981, -ksp_type ibcgs -pc_type bjacobi ,KSPSolve,3,7.6,2.53E+00,1.39E+11,6.70E+05,6.70E+03,8.90E+03,43131
s1000_g1e2,24,12321508, -ksp_type fgmres -pc_type bjacobi ,KSPSolve,3,7.4,2.47E+00,4.99E+11,1.60E+06,6.70E+03,4.20E+04,16057
s1000_g1e2,24,22479830, -ksp_type gmres -pc_type asm ,KSPSolve,3,6.4,2.13E+00,4.00E+11,2.50E+06,6.80E+03,3.30E+04,14743
s1000_g1e2,24,80361466, -ksp_type bcgs -pc_type asm -pc_asm_overlap 0 ,KSPSolve,3,2,6.67E-01,1.08E+11,5.50E+05,6.70E+03,1.50E+04,12843
s1000_g1e2,24,80361467, -ksp_type bcgs -pc_type asm -pc_asm_overlap 1 ,KSPSolve,3,2.1,7.00E-01,1.09E+11,1.10E+06,6.80E+03,1.50E+04,12314
s1000_g1e2,24,81997754, -ksp_type tfqmr -pc_type asm ,KSPSolve,3,3,1.00E+00,1.53E+11,1.50E+06,6.80E+03,1.50E+04,11855
s1000_g1e2,24,80361465, -ksp_type bcgs -pc_type asm -pc_asm_overlap 3 ,KSPSolve,3,2,6.67E-01,1.03E+11,1.40E+06,9.80E+03,1.40E+04,12199
s1000_g1e2,24,8520536, -ksp_type bcgs -pc_type jacobi ,KSPSolve,3,3,1.00E+00,1.82E+11,1.60E+06,6.70E+03,4.30E+04,14395
s1000_g1e2,24,53302993, -ksp_type tfqmr -pc_type bjacobi ,KSPSolve,3,2.3,7.67E-01,1.27E+11,6.40E+05,6.70E+03,1.30E+04,13147
s1000_g1e2,24,91036839, -ksp_type bcgs -pc_type bjacobi ,KSPSolve,3,1.8,6.00E-01,1.08E+11,5.50E+05,6.70E+03,1.50E+04,14103
s1000_g1e2,24,30870723, -ksp_type gmres -pc_type asm -pc_asm_overlap 1 ,KSPSolve,3,5.7,1.90E+00,3.57E+11,2.30E+06,6.80E+03,2.90E+04,14756
s1000_g1e2,24,30870722, -ksp_type gmres -pc_type asm -pc_asm_overlap 0 ,KSPSolve,3,7.8,2.60E+00,4.92E+11,1.60E+06,6.70E+03,4.10E+04,14955
s1000_g1e2,24,30870721, -ksp_type gmres -pc_type asm -pc_asm_overlap 3 ,KSPSolve,3,5.7,1.90E+00,3.57E+11,3.10E+06,9.70E+03,2.90E+04,14710
s1000_g1e2,24,30870720, -ksp_type gmres -pc_type asm -pc_asm_overlap 2 ,KSPSolve,3,5.8,1.93E+00,3.51E+11,3.10E+06,7.30E+03,2.90E+04,14379
s1000_g1e2,24,75830645, -ksp_type ibcgs -pc_type asm -pc_asm_overlap 3 ,KSPSolve,3,6.5,2.17E+00,1.07E+11,1.40E+06,9.80E+03,6.70E+03,39022
s1000_g1e2,24,75830644, -ksp_type ibcgs -pc_type asm -pc_asm_overlap 2 ,KSPSolve,3,6.9,2.30E+00,1.14E+11,1.50E+06,7.30E+03,7.20E+03,39200
s1000_g1e2,24,75830647, -ksp_type ibcgs -pc_type asm -pc_asm_overlap 1 ,KSPSolve,3,6.6,2.20E+00,1.09E+11,1.00E+06,6.80E+03,6.90E+03,39409
s1000_g1e2,24,75830646, -ksp_type ibcgs -pc_type asm -pc_asm_overlap 0 ,KSPSolve,3,7.4,2.47E+00,1.25E+11,6.10E+05,6.70E+03,8.00E+03,40110
s1000_g1e2,24,45869640, -ksp_type fgmres -pc_type asm -pc_asm_overlap 1 ,KSPSolve,3,6.7,2.23E+00,4.16E+11,2.60E+06,6.80E+03,3.50E+04,14849
s1000_g1e2,768,11256942, -ksp_type tfqmr -pc_type asm -pc_asm_overlap 0 ,KSPSolve,3,5.8,1.93E+00,4.92E+09,3.00E+07,1.20E+03,1.50E+04,623552
s1000_g1e2,768,11256941, -ksp_type tfqmr -pc_type asm -pc_asm_overlap 1 ,KSPSolve,3,9.4,3.13E+00,6.58E+09,7.70E+07,1.20E+03,2.00E+04,516699
s1000_g1e2,768,42851841, -ksp_type gmres -pc_type bjacobi ,KSPSolve,3,1.6,5.33E-01,1.69E+10,6.50E+07,1.20E+03,4.40E+04,753439
s1000_g1e2,768,11256944, -ksp_type tfqmr -pc_type asm -pc_asm_overlap 2 ,KSPSolve,3,8,2.67E+00,5.26E+09,8.80E+07,1.20E+03,1.50E+04,483295
s1000_g1e2,768,80361464, -ksp_type bcgs -pc_type asm -pc_asm_overlap 2 ,KSPSolve,3,4.9,1.63E+00,3.43E+09,5.80E+07,1.20E+03,1.30E+04,509989
s1000_g1e2,768,45869639, -ksp_type fgmres -pc_type asm -pc_asm_overlap 0 ,KSPSolve,3,1.8,6.00E-01,1.73E+10,6.70E+07,1.20E+03,4.50E+04,684193
s1000_g1e2,768,45869638, -ksp_type fgmres -pc_type asm -pc_asm_overlap 3 ,KSPSolve,3,1.9,6.33E-01,1.45E+10,1.50E+08,1.60E+03,3.50E+04,552043
s1000_g1e2,768,45869637, -ksp_type fgmres -pc_type asm -pc_asm_overlap 2 ,KSPSolve,3,1.9,6.33E-01,1.45E+10,1.60E+08,1.20E+03,3.60E+04,555040
s1000_g1e2,768,36482981, -ksp_type fgmres -pc_type asm ,KSPSolve,3,1.8,6.00E-01,1.52E+10,1.10E+08,1.20E+03,3.90E+04,604136
s1000_g1e2,768,18524981, -ksp_type ibcgs -pc_type bjacobi ,KSPSolve,3,2.5,8.33E-01,4.17E+09,2.50E+07,1.20E+03,8.30E+03,1195171
s1000_g1e2,768,12321508, -ksp_type fgmres -pc_type bjacobi ,KSPSolve,3,1.7,5.67E-01,1.68E+10,6.60E+07,1.20E+03,4.40E+04,724304
s1000_g1e2,768,22479830, -ksp_type gmres -pc_type asm ,KSPSolve,3,1.8,6.00E-01,1.48E+10,1.10E+08,1.20E+03,3.70E+04,580818
s1000_g1e2,768,80361466, -ksp_type bcgs -pc_type asm -pc_asm_overlap 0 ,KSPSolve,3,4.8,1.60E+00,4.44E+09,2.80E+07,1.20E+03,1.90E+04,677689
s1000_g1e2,768,80361467, -ksp_type bcgs -pc_type asm -pc_asm_overlap 1 ,KSPSolve,3,4.7,1.57E+00,3.71E+09,4.40E+07,1.20E+03,1.50E+04,576995
s1000_g1e2,768,81997754, -ksp_type tfqmr -pc_type asm ,KSPSolve,3,9.1,3.03E+00,6.58E+09,7.70E+07,1.20E+03,2.00E+04,536666
s1000_g1e2,768,80361465, -ksp_type bcgs -pc_type asm -pc_asm_overlap 3 ,KSPSolve,3,5.4,1.80E+00,3.48E+09,5.60E+07,1.60E+03,1.30E+04,468914
s1000_g1e2,768,8520536, -ksp_type bcgs -pc_type jacobi ,KSPSolve,3,3.9,1.30E+00,5.68E+09,6.10E+07,1.20E+03,4.10E+04,1063453
s1000_g1e2,768,1216556, -ksp_type ibcgs -pc_type jacobi ,KSPSolve,3,6.3,2.10E+00,8.17E+09,8.00E+07,1.20E+03,2.70E+04,962619
s1000_g1e2,768,53302993, -ksp_type tfqmr -pc_type bjacobi ,KSPSolve,3,5.5,1.83E+00,4.92E+09,3.00E+07,1.20E+03,1.50E+04,654935
s1000_g1e2,768,91036839, -ksp_type bcgs -pc_type bjacobi ,KSPSolve,3,4.4,1.47E+00,4.44E+09,2.80E+07,1.20E+03,1.90E+04,742564
s1000_g1e2,768,30870723, -ksp_type gmres -pc_type asm -pc_asm_overlap 1 ,KSPSolve,3,1.5,5.00E-01,1.37E+10,1.00E+08,1.20E+03,3.40E+04,644007
s1000_g1e2,768,30870722, -ksp_type gmres -pc_type asm -pc_asm_overlap 0 ,KSPSolve,3,1.7,5.67E-01,1.72E+10,6.60E+07,1.20E+03,4.40E+04,714372
s1000_g1e2,768,30870721, -ksp_type gmres -pc_type asm -pc_asm_overlap 3 ,KSPSolve,3,1.8,6.00E-01,1.40E+10,1.50E+08,1.60E+03,3.30E+04,562072
s1000_g1e2,768,30870720, -ksp_type gmres -pc_type asm -pc_asm_overlap 2 ,KSPSolve,3,1.8,6.00E-01,1.50E+10,1.60E+08,1.20E+03,3.60E+04,598476
s1000_g1e2,768,75830645, -ksp_type ibcgs -pc_type asm -pc_asm_overlap 3 ,KSPSolve,3,3.4,1.13E+00,3.94E+09,6.10E+07,1.60E+03,6.90E+03,852383
s1000_g1e2,768,75830644, -ksp_type ibcgs -pc_type asm -pc_asm_overlap 2 ,KSPSolve,3,3,1.00E+00,3.73E+09,6.00E+07,1.20E+03,6.90E+03,916686
s1000_g1e2,768,75830647, -ksp_type ibcgs -pc_type asm -pc_asm_overlap 1 ,KSPSolve,3,3.2,1.07E+00,4.39E+09,5.00E+07,1.20E+03,8.40E+03,1000531
s1000_g1e2,768,75830646, -ksp_type ibcgs -pc_type asm -pc_asm_overlap 0 ,KSPSolve,3,2.9,9.67E-01,4.21E+09,2.50E+07,1.20E+03,8.40E+03,1050298
s1000_g1e2,768,45869640, -ksp_type fgmres -pc_type asm -pc_asm_overlap 1 ,KSPSolve,3,1.7,5.67E-01,1.47E+10,1.10E+08,1.20E+03,3.70E+04,623147
s1000_g1e2,192,11256942, -ksp_type tfqmr -pc_type asm -pc_asm_overlap 0 ,KSPSolve,3,4.4,1.47E+00,2.35E+10,8.80E+06,2.30E+03,1.90E+04,99559
s1000_g1e2,192,11256943, -ksp_type tfqmr -pc_type asm -pc_asm_overlap 3 ,KSPSolve,4,6.1,1.53E+00,3.12E+10,3.20E+07,3.20E+03,2.30E+04,95627
s1000_g1e2,192,11256941, -ksp_type tfqmr -pc_type asm -pc_asm_overlap 1 ,KSPSolve,3,3.2,1.07E+00,1.69E+10,1.20E+07,2.30E+03,1.30E+04,97241
s1000_g1e2,192,42851841, -ksp_type gmres -pc_type bjacobi ,KSPSolve,3,8.2,2.73E+00,6.39E+10,1.50E+07,2.30E+03,4.20E+04,146633
s1000_g1e2,192,11256944, -ksp_type tfqmr -pc_type asm -pc_asm_overlap 2 ,KSPSolve,3,3.5,1.17E+00,1.83E+10,1.90E+07,2.40E+03,1.40E+04,98569
s1000_g1e2,192,80361464, -ksp_type bcgs -pc_type asm -pc_asm_overlap 2 ,KSPSolve,3,2.5,8.33E-01,1.39E+10,1.50E+07,2.40E+03,1.40E+04,101729
s1000_g1e2,192,45869639, -ksp_type fgmres -pc_type asm -pc_asm_overlap 0 ,KSPSolve,3,9,3.00E+00,6.52E+10,1.60E+07,2.30E+03,4.30E+04,136380
s1000_g1e2,192,45869638, -ksp_type fgmres -pc_type asm -pc_asm_overlap 3 ,KSPSolve,3,7.3,2.43E+00,4.95E+10,3.20E+07,3.20E+03,3.10E+04,127411
s1000_g1e2,192,45869637, -ksp_type fgmres -pc_type asm -pc_asm_overlap 2 ,KSPSolve,3,7.7,2.57E+00,5.46E+10,3.60E+07,2.40E+03,3.50E+04,132082
s1000_g1e2,192,36482981, -ksp_type fgmres -pc_type asm ,KSPSolve,3,6.8,2.27E+00,4.84E+10,2.20E+07,2.30E+03,3.20E+04,134281
s1000_g1e2,192,18524981, -ksp_type ibcgs -pc_type bjacobi ,KSPSolve,3,2.4,8.00E-01,1.54E+10,5.50E+06,2.30E+03,7.80E+03,118945
s1000_g1e2,192,12321508, -ksp_type fgmres -pc_type bjacobi ,KSPSolve,3,8.1,2.70E+00,6.35E+10,1.50E+07,2.30E+03,4.20E+04,147406
s1000_g1e2,192,22479830, -ksp_type gmres -pc_type asm ,KSPSolve,3,6.9,2.30E+00,4.92E+10,2.30E+07,2.30E+03,3.20E+04,133737
s1000_g1e2,192,80361466, -ksp_type bcgs -pc_type asm -pc_asm_overlap 0 ,KSPSolve,3,2.7,9.00E-01,1.54E+10,5.90E+06,2.30E+03,1.60E+04,105590
s1000_g1e2,192,80361467, -ksp_type bcgs -pc_type asm -pc_asm_overlap 1 ,KSPSolve,3,2.5,8.33E-01,1.38E+10,1.00E+07,2.30E+03,1.40E+04,102449
